content,chunk_index,collection,content_type,filename,sequence_number,source,source_file,title,total_chunks,useless_to_recall,questions
"Quote from: llama on July 17, 2010, 09:56:25 PMHowever, it's important that you don't lock all the way up the very latest block. Â Otherwise, the attacker could generate a fake block (or a few) right before you happen to lock it, and then his attack would be far easier than it would have been without the block lock.I went about 200 blocks back.Â  The block chain was a clean straight line without branches, and there was only one known version of the locked block.Quote from: llama on July 17, 2010, 09:56:25 PMAlso, I'm assuming that the block lock means that the blocks will also come prepackaged with the client. Â Is this so?Sorry, not yet, but I do want to make the initial block download faster.
Re: Bitcoin 0.3.2 released
July 17, 2010 at 22:54:24 UTC
BitcoinTalk",0,posts,post,post_238_Re__Bitcoin_0.3.2_released,238,nakamotoinstitute_files\posts\post_238_Re__Bitcoin_0.3.2_released.html,nakamotoinstitute_files\posts\post_238_Re__Bitcoin_0.3.2_released.html,Re  Bitcoin 0.3.2 released,1,False,"[""What is Satoshi Nakamoto's approach to preventing attackers from generating fake blocks in the Bitcoin blockchain?"", 'Is the block lock feature implemented automatically by the client, or does it require manual configuration?', 'How far back can users go in the Bitcoin blockchain before they start seeing branches and inconsistencies?', 'Can you provide more information on why Satoshi wants to make the initial block download faster?']"
"I didn't realize you were going to document all the intentionally undocumented commands.Â  They're unsupported and not intended to be used by users.All the user-facing commands are listed in the -? help.
Re: Source code documentation
July 17, 2010 at 23:18:30 UTC
BitcoinTalk",0,posts,post,post_239_Re__Source_code_documentation,239,nakamotoinstitute_files\posts\post_239_Re__Source_code_documentation.html,nakamotoinstitute_files\posts\post_239_Re__Source_code_documentation.html,Re  Source code documentation,1,False,"[""What are some unsupported commands in Bitcoin's source code?"", 'Were the listed user-facing commands intended to be used by users?', 'When were other unsupported commands documented in the BitcoinTalk forum?']"
"Quote from: NewLibertyStandard on July 17, 2010, 10:22:09 PMVersion 0.3 was supposed to reduce the number of outgoing connections on non-port forwarded clients from 15 to 8, but I don't think it really happened. I'm not positive if this is the case. Correct me if I'm wrong.In 0.3.0, the change to 8 only ended up in the Windows version, the other versions still had 15.Please upgrade to 0.3.2, it's available now.
Re: Network Size
July 17, 2010 at 23:25:16 UTC
BitcoinTalk",0,posts,post,post_240_Re__Network_Size,240,nakamotoinstitute_files\posts\post_240_Re__Network_Size.html,nakamotoinstitute_files\posts\post_240_Re__Network_Size.html,Re  Network Size,1,False,"[""Did Satoshi Nakamoto discuss the changes to Bitcoin's client connections in version 0.3?"", 'What was the original intention for reducing outgoing connections on non-port forwarded clients in version 0.3?', 'What was the outcome of implementing the change to 8 connections in Windows version 0.3.0 compared to other versions?', 'When did version 0.3.2 become available?', 'Did BitcoinTalk users receive feedback or comments from Satoshi Nakamoto regarding this change?']"
"Quote from: llama on July 18, 2010, 12:03:29 AMThis is a good start, but still not impermeable.I didn't say impermeable, I said good-enough.Â  The loss in practice would be far lower than with credit cards.Quote(for example, by refusing to propogate word of the transaction at the vending machine)No, the vending machine talks to a big service provider (aka payment processor) that provides this service to many merchants.Â  Think something like a credit card processor with a new job.Â  They would have many well connected network nodes.
Re: Bitcoin snack machine (fast transaction problem)
July 18, 2010 at 01:59:15 UTC
BitcoinTalk",0,posts,post,post_241_Re__Bitcoin_snack_machine_(fast_transaction_problem),241,nakamotoinstitute_files\posts\post_241_Re__Bitcoin_snack_machine_(fast_transaction_problem).html,nakamotoinstitute_files\posts\post_241_Re__Bitcoin_snack_machine_(fast_transaction_problem).html,Re  Bitcoin snack machine (fast transaction problem),1,False,"['What concept did Satoshi consider impermeable, suggesting a lower loss in practice compared to credit cards?', 'Did Satoshi say the vending machine service provider (or payment processor) talks to many merchants in Bitcoin network?', 'How does the proposal for handling transactions between vending machines and payment processors imply challenges for scalability?', ""According to Sasha Nakamoto, in what context would transacting at a vending machine have a 'good-enough' solution?"", 'Did Satoshi mention any well connected nodes or network architecture that provide this service to many merchants?', 'Can you tell me more about the relationship between credit card processors and payment services?']"
"They're only intended for intrepid programmers who read the sourcecode.
Re: Source code documentation
July 18, 2010 at 15:12:54 UTC
BitcoinTalk",0,posts,post,post_242_Re__Source_code_documentation,242,nakamotoinstitute_files\posts\post_242_Re__Source_code_documentation.html,nakamotoinstitute_files\posts\post_242_Re__Source_code_documentation.html,Re  Source code documentation,1,False,"['What did Satoshi Nakamoto say about the challenges of creating a decentralized system?', 'Is there any reference to a peer-to-peer network in this document?', 'When was the source code documentation for Bitcoin released?', 'Is it true that only programming knowledge is assumed when dealing with the source code?', 'In how many days/months/years since 2010 was BitcoinTalk updated? ']"
"The change list is basically encompassed by what's listed in the first message. Â Everyone should upgrade to get the important security improvements.Minimizing to tray had at least 3 different glitches and bugs on Linux, including a crash one, so I disabled it again.Â  You can still re-enable the option with ""-minimizetotray"" if you want to use it anyway.Â  The bugs/glitches are somewhere in wxWidgets or GTK or Gnome and I don't know how to fix them.Â  Sorry, I just don't know what else to do, it's just too glitchy and buggy to have as a mainline feature.
Re: Bitcoin 0.3.2 released
July 18, 2010 at 18:58:21 UTC
BitcoinTalk",0,posts,post,post_244_Re__Bitcoin_0.3.2_released,244,nakamotoinstitute_files\posts\post_244_Re__Bitcoin_0.3.2_released.html,nakamotoinstitute_files\posts\post_244_Re__Bitcoin_0.3.2_released.html,Re  Bitcoin 0.3.2 released,1,False,"['What issues did Linux users experience with the minimize to tray feature in Bitcoin 0.3.2?', 'Did Satoshi Nakamoto prioritize user convenience over security features in Bitcoin?', 'Can Satoshi mention any specific programming libraries or frameworks responsible for compatibility issues?', 'Were there any significant bugs reported by users regarding minimization on Linux platforms?', 'How did Satoshi respond to concerns about the impact of security patches on usability?']"
"Typically, over 25,000 BTC.
Re: Nenolod, the guy that wants to prove Bitcoin doesn't work.
July 18, 2010 at 21:56:18 UTC
BitcoinTalk",0,posts,post,"post_247_Re__Nenolod,_the_guy_that_wants_to_prove_Bitcoin_doesn't_work.",247,"nakamotoinstitute_files\posts\post_247_Re__Nenolod,_the_guy_that_wants_to_prove_Bitcoin_doesn't_work..html","nakamotoinstitute_files\posts\post_247_Re__Nenolod,_the_guy_that_wants_to_prove_Bitcoin_doesn't_work..html","Re  Nenolod, the guy that wants to prove Bitcoin doesn't work.",1,False,"['What does Satoshi Nakamoto estimate is typically transferred in new Bitcoin releases?', ""Did Satoshi mention a specific timeframe for proving that Bitcoin doesn't work?"", ""To what extent was the release of Nenolod's message a validation or commentary on the Bitcoin network?""]"
"Nice graph! Â A moving average to smooth it out would be nice.http://nullvoid.org/bitcoin/statistix.phpsays 212 blocks in the last 24 hours, or 8.8 per hour.
Re: Did block generation crawl to a halt?
July 18, 2010 at 23:35:27 UTC
BitcoinTalk",0,posts,post,post_248_Re__Did_block_generation_crawl_to_a_halt_,248,nakamotoinstitute_files\posts\post_248_Re__Did_block_generation_crawl_to_a_halt_.html,nakamotoinstitute_files\posts\post_248_Re__Did_block_generation_crawl_to_a_halt_.html,Re  Did block generation crawl to a halt ,1,False,"[""Did Satoshi mention Bitcoin's block generation rate?"", 'How does the moving average affect the perceived block generation rate?', ""What is the implication of this observation on Satoshi Nakamoto's design choices?""]"
"Right, that is quite a bit better.Can you give me any examples of other stuff that does it that way?Â  (and what the command line looks like)The main change you're talking about here is instead of -rpcpw= when you start bitcoind, you'd use a switch that specifies a text file to go and read it from, right?Â  (any ideas what I should name the switch?)
Re: JSON-RPC password
July 19, 2010 at 04:43:13 UTC
BitcoinTalk",0,posts,post,post_249_Re__JSON-RPC_password,249,nakamotoinstitute_files\posts\post_249_Re__JSON-RPC_password.html,nakamotoinstitute_files\posts\post_249_Re__JSON-RPC_password.html,Re  JSON-RPC password,1,False,"['Do you know what other projects use a similar text file method for secure password authentication?', 'What is the command line switch used to specify a text file for password authentication in Bitcoin?', 'Can you give examples of peer-to-peer networks that were around in the time Satoshi was developing Bitcoin?', ""How did Satoshi's idea about using JSON-RPC with passwords differ from other methods at the time?"", '']"
"Don't use the -server or -daemon switch or run bitcoind on a machine where you use a web browser. Â It opens port 8332 on 127.0.0.1, the local loopback address, and you wouldn't think that web browsers could cross-site access it, but it is possible.We're working on a release soon that puts a password on the JSON-RPC interface, but until then, avoid using the -server switch, and don't web browse on the same machine where bitcoind is running.Update:The JSON-RPC HTTP authentication feature in 0.3.3 solves this problem.
Warning: don't use -server or bitcoind where you web browse (v0.3.2 and lower)
July 19, 2010 at 16:01:38 UTC
BitcoinTalk",0,posts,post,post_250_Warning__don't_use_-server_or_bitcoind_where_you_web_browse_(v0.3.2_and_lower),250,nakamotoinstitute_files\posts\post_250_Warning__don't_use_-server_or_bitcoind_where_you_web_browse_(v0.3.2_and_lower).html,nakamotoinstitute_files\posts\post_250_Warning__don't_use_-server_or_bitcoind_where_you_web_browse_(v0.3.2_and_lower).html,Warning  don't use -server or bitcoind where you web browse (v0.3.2 and lower),1,True,[]
"Still need to know what's the most typical settings file format on Linux.Â  Is there a standard file extension?Â  I've never seen a settings file using JSON, and it doesn't look very human friendly with everything required to be in quotes.Â  I think what I usually see is like:# commentsetting=valueIs there a settings file thing in Boost?When you're using bitcoind to issue commands from the command line as a client, can we have it get the password from the settings file then too?Gavin pointed out I forgot to increment the column of numbers in CommandLineRPC, so the current -rpcpw= implementation doesn't work right from the command line with non-string parameters.Â  (JSON-RPC is fine)Â  Still under construction.
Re: JSON-RPC password
July 21, 2010 at 24:05:20 UTC
BitcoinTalk",0,posts,post,post_253_Re__JSON-RPC_password,253,nakamotoinstitute_files\posts\post_253_Re__JSON-RPC_password.html,nakamotoinstitute_files\posts\post_253_Re__JSON-RPC_password.html,Re  JSON-RPC password,1,False,"['What was the typical settings file format used by Satoshi Nakamoto in Linux?', 'Was there a standard file extension for settings files that used JSON encoding?', 'Did Gavin Nakamoto point out an issue with the implementation of command-line RPC passwords in Boost?', 'When using bitcoind to issue commands from the command line as a client, was it possible to get the password from the settings file?', 'What adjustments were needed to the CommandLineRPC setting due to a discrepancy found by others?']"
